Profile,min_violations-committee,min_violations,max_violations-committee,max_violations,candidate_pairs,candidate_pairs-normalized-no_diagonal,binary_pairs-no_diagonal,rank_matrix,rank_matrix-normalized
"[(1, 0, 2), (1, 0, 2), (1, 0, 2), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (1, 0, 2), (1, 0, 2), (0, 2, 1), (0, 1, 2), (2, 0, 1), (0, 1, 2)]","(1, 1, 0)",0,"(0, 1, 1)",8,"[0, 8, 12, 5, 0, 9, 1, 4, 0]","[0.20513, 0.30769, 0.12821, 0.23077, 0.02564, 0.10256]","[1, 1, 0, 1, 0, 0]","[7, 6, 0, 5, 4, 4, 1, 3, 9]","[0.17949, 0.15385, 0.0, 0.12821, 0.10256, 0.10256, 0.02564, 0.07692, 0.23077]"
"[(2, 1, 0), (2, 0, 1), (0, 1, 2), (0, 2, 1), (0, 1, 2), (0, 2, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (1, 0, 2)]","(1, 0, 1)",0,"(1, 1, 0)",5,"[0, 8, 5, 2, 0, 3, 5, 7, 0]","[0.26667, 0.16667, 0.06667, 0.1, 0.16667, 0.23333]","[1, 1, 0, 1, 0, 0]","[4, 5, 1, 1, 3, 6, 5, 2, 3]","[0.13333, 0.16667, 0.03333, 0.03333, 0.1, 0.2, 0.16667, 0.06667, 0.1]"
"[(2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 1, 0), (2, 0, 1), (2, 1, 0), (0, 2, 1), (2, 1, 0), (2, 0, 1), (2, 0, 1), (1, 0, 2)]","(0, 1, 1)",0,"(1, 1, 0)",7,"[0, 4, 2, 7, 0, 1, 9, 10, 0]","[0.12121, 0.06061, 0.21212, 0.0303, 0.27273, 0.30303]","[1, 1, 0, 0, 0, 1]","[1, 4, 6, 1, 6, 4, 9, 1, 1]","[0.0303, 0.12121, 0.18182, 0.0303, 0.18182, 0.12121, 0.27273, 0.0303, 0.0303]"
"[(2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (0, 1, 2)]","(1, 0, 1)",0,"(1, 1, 0)",7,"[0, 5, 1, 0, 0, 1, 4, 4, 0]","[0.33333, 0.06667, 0.0, 0.06667, 0.26667, 0.26667]","[1, 0, 0, 0, 1, 1]","[1, 4, 0, 0, 1, 4, 4, 0, 1]","[0.06667, 0.26667, 0.0, 0.0, 0.06667, 0.26667, 0.26667, 0.0, 0.06667]"
"[(0, 1, 2), (2, 1, 0), (2, 0, 1), (2, 1, 0), (2, 1, 0), (1, 0, 2), (2, 1, 0), (0, 1, 2), (1, 2, 0), (0, 1, 2), (0, 1, 2), (2, 1, 0), (2, 1, 0)]","(0, 1, 1)",0,"(1, 1, 0)",7,"[0, 5, 5, 8, 0, 6, 8, 7, 0]","[0.12821, 0.12821, 0.20513, 0.15385, 0.20513, 0.17949]","[1, 1, 0, 1, 0, 0]","[4, 2, 7, 2, 10, 1, 7, 1, 5]","[0.10256, 0.05128, 0.17949, 0.05128, 0.25641, 0.02564, 0.17949, 0.02564, 0.12821]"
"[(0, 1, 2), (0, 2, 1), (0, 2, 1), (2, 1, 0), (0, 1, 2), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",5,"[0, 5, 5, 1, 0, 2, 1, 4, 0]","[0.27778, 0.27778, 0.05556, 0.11111, 0.05556, 0.22222]","[1, 1, 0, 1, 0, 0]","[5, 0, 1, 0, 3, 3, 1, 3, 2]","[0.27778, 0.0, 0.05556, 0.0, 0.16667, 0.16667, 0.05556, 0.16667, 0.11111]"
"[(1, 2, 0), (0, 2, 1), (2, 0, 1), (1, 2, 0), (0, 2, 1), (1, 2, 0), (1, 2, 0), (0, 1, 2), (0, 2, 1), (1, 0, 2), (2, 1, 0), (2, 1, 0)]","(0, 1, 1)",0,"(1, 1, 0)",1,"[0, 5, 5, 7, 0, 6, 7, 6, 0]","[0.13889, 0.13889, 0.19444, 0.16667, 0.19444, 0.16667]","[1, 1, 0, 1, 0, 0]","[4, 2, 6, 5, 3, 4, 3, 7, 2]","[0.11111, 0.05556, 0.16667, 0.13889, 0.08333, 0.11111, 0.08333, 0.19444, 0.05556]"
"[(0, 2, 1), (0, 2, 1), (1, 2, 0), (1, 2, 0), (1, 2, 0), (0, 2, 1), (1, 2, 0)]","(0, 1, 1)",1,"(1, 0, 1)",7,"[0, 3, 3, 4, 0, 4, 4, 3, 0]","[0.14286, 0.14286, 0.19048, 0.19048, 0.19048, 0.14286]","[1, 1, 0, 1, 0, 0]","[3, 0, 4, 4, 0, 3, 0, 7, 0]","[0.14286, 0.0, 0.19048, 0.19048, 0.0, 0.14286, 0.0, 0.33333, 0.0]"
"[(2, 0, 1), (0, 1, 2), (1, 0, 2), (0, 2, 1), (0, 2, 1), (1, 0, 2), (0, 2, 1), (1, 0, 2), (0, 2, 1), (0, 2, 1), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",8,"[0, 8, 10, 3, 0, 4, 1, 7, 0]","[0.24242, 0.30303, 0.09091, 0.12121, 0.0303, 0.21212]","[1, 1, 0, 1, 0, 0]","[7, 4, 0, 3, 1, 7, 1, 6, 4]","[0.21212, 0.12121, 0.0, 0.09091, 0.0303, 0.21212, 0.0303, 0.18182, 0.12121]"
"[(0, 2, 1), (2, 0, 1), (2, 0, 1), (2, 0, 1), (1, 2, 0), (2, 0, 1), (0, 1, 2), (2, 0, 1), (0, 1, 2), (2, 0, 1), (1, 0, 2), (1, 0, 2), (1, 2, 0), (0, 1, 2), (2, 0, 1), (2, 1, 0)]","(1, 0, 1)",0,"(1, 1, 0)",4,"[0, 11, 6, 5, 0, 7, 10, 9, 0]","[0.22917, 0.125, 0.10417, 0.14583, 0.20833, 0.1875]","[1, 1, 0, 1, 0, 0]","[4, 9, 3, 4, 4, 8, 8, 3, 5]","[0.08333, 0.1875, 0.0625, 0.08333, 0.08333, 0.16667, 0.16667, 0.0625, 0.10417]"
"[(0, 1, 2), (0, 1, 2), (2, 0, 1), (0, 1, 2), (0, 1, 2), (1, 0, 2), (2, 0, 1), (1, 0, 2), (1, 0, 2), (1, 0, 2)]","(1, 1, 0)",0,"(0, 1, 1)",5,"[0, 6, 8, 4, 0, 8, 2, 2, 0]","[0.2, 0.26667, 0.13333, 0.26667, 0.06667, 0.06667]","[1, 1, 0, 1, 0, 0]","[4, 6, 0, 4, 4, 2, 2, 0, 8]","[0.13333, 0.2, 0.0, 0.13333, 0.13333, 0.06667, 0.06667, 0.0, 0.26667]"
"[(2, 0, 1), (2, 1, 0), (1, 0, 2), (2, 1, 0), (1, 0, 2), (1, 2, 0), (1, 2, 0), (1, 2, 0), (2, 0, 1), (0, 2, 1), (2, 1, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 3, 3, 9, 0, 6, 9, 6, 0]","[0.08333, 0.08333, 0.25, 0.16667, 0.25, 0.16667]","[1, 1, 0, 1, 0, 0]","[1, 4, 7, 6, 3, 3, 5, 5, 2]","[0.02778, 0.11111, 0.19444, 0.16667, 0.08333, 0.08333, 0.13889, 0.13889, 0.05556]"
"[(1, 0, 2), (0, 2, 1), (1, 0, 2), (0, 2, 1), (0, 2, 1), (1, 0, 2), (1, 0, 2), (0, 2, 1), (1, 0, 2), (1, 0, 2), (0, 2, 1), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",7,"[0, 5, 12, 7, 0, 7, 0, 5, 0]","[0.13889, 0.33333, 0.19444, 0.19444, 0.0, 0.13889]","[1, 1, 0, 1, 0, 0]","[5, 7, 0, 7, 0, 5, 0, 5, 7]","[0.13889, 0.19444, 0.0, 0.19444, 0.0, 0.13889, 0.0, 0.13889, 0.19444]"
"[(2, 0, 1), (1, 2, 0), (2, 0, 1), (2, 0, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1), (1, 0, 2), (2, 1, 0)]","(1, 0, 1)",0,"(1, 1, 0)",5,"[0, 6, 4, 3, 0, 2, 5, 7, 0]","[0.22222, 0.14815, 0.11111, 0.07407, 0.18519, 0.25926]","[1, 1, 0, 1, 0, 0]","[3, 4, 2, 2, 1, 6, 4, 4, 1]","[0.11111, 0.14815, 0.07407, 0.07407, 0.03704, 0.22222, 0.14815, 0.14815, 0.03704]"
"[(2, 0, 1), (0, 2, 1), (2, 1, 0), (2, 0, 1), (2, 0, 1), (0, 1, 2), (2, 1, 0)]","(1, 0, 1)",0,"(1, 1, 0)",7,"[0, 5, 2, 2, 0, 1, 5, 6, 0]","[0.2381, 0.09524, 0.09524, 0.04762, 0.2381, 0.28571]","[1, 1, 0, 0, 0, 1]","[2, 3, 2, 0, 3, 4, 5, 1, 1]","[0.09524, 0.14286, 0.09524, 0.0, 0.14286, 0.19048, 0.2381, 0.04762, 0.04762]"
"[(1, 0, 2), (0, 2, 1), (1, 0, 2), (2, 0, 1), (2, 0, 1), (0, 2, 1), (1, 0, 2), (1, 0, 2), (1, 0, 2), (0, 2, 1), (1, 0, 2), (0, 2, 1)]","(1, 1, 0)",0,"(1, 0, 1)",2,"[0, 6, 10, 6, 0, 6, 2, 6, 0]","[0.16667, 0.27778, 0.16667, 0.16667, 0.05556, 0.16667]","[1, 1, 0, 1, 0, 0]","[4, 8, 0, 6, 0, 6, 2, 4, 6]","[0.11111, 0.22222, 0.0, 0.16667, 0.0, 0.16667, 0.05556, 0.11111, 0.16667]"
"[(2, 0, 1), (2, 0, 1), (2, 0, 1), (2, 1, 0), (2, 0, 1), (1, 2, 0), (2, 0, 1), (2, 0, 1), (0, 2, 1)]","(1, 0, 1)",0,"(1, 1, 0)",8,"[0, 7, 1, 2, 0, 1, 8, 8, 0]","[0.25926, 0.03704, 0.07407, 0.03704, 0.2963, 0.2963]","[1, 0, 0, 0, 1, 1]","[1, 6, 2, 1, 1, 7, 7, 2, 0]","[0.03704, 0.22222, 0.07407, 0.03704, 0.03704, 0.25926, 0.25926, 0.07407, 0.0]"
"[(0, 2, 1), (1, 0, 2), (2, 0, 1), (0, 2, 1), (1, 0, 2), (0, 2, 1), (1, 0, 2), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",2,"[0, 4, 7, 4, 0, 4, 1, 4, 0]","[0.16667, 0.29167, 0.16667, 0.16667, 0.04167, 0.16667]","[1, 1, 0, 1, 0, 0]","[3, 5, 0, 4, 0, 4, 1, 3, 4]","[0.125, 0.20833, 0.0, 0.16667, 0.0, 0.16667, 0.04167, 0.125, 0.16667]"
"[(1, 2, 0), (0, 2, 1), (0, 2, 1), (1, 2, 0), (0, 2, 1), (1, 2, 0), (0, 2, 1), (0, 2, 1), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",7,"[0, 6, 6, 3, 0, 3, 3, 6, 0]","[0.22222, 0.22222, 0.11111, 0.11111, 0.11111, 0.22222]","[1, 1, 0, 1, 0, 0]","[6, 0, 3, 3, 0, 6, 0, 9, 0]","[0.22222, 0.0, 0.11111, 0.11111, 0.0, 0.22222, 0.0, 0.33333, 0.0]"
"[(1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 0, 2), (1, 0, 2), (1, 0, 2)]","(0, 1, 1)",0,"(1, 0, 1)",8,"[0, 0, 3, 7, 0, 7, 4, 0, 0]","[0.0, 0.14286, 0.33333, 0.33333, 0.19048, 0.0]","[0, 1, 1, 1, 0, 0]","[0, 3, 4, 7, 0, 0, 0, 4, 3]","[0.0, 0.14286, 0.19048, 0.33333, 0.0, 0.0, 0.0, 0.19048, 0.14286]"
"[(0, 2, 1), (1, 0, 2), (2, 0, 1), (1, 0, 2), (0, 2, 1), (1, 0, 2), (1, 0, 2), (0, 2, 1)]","(1, 1, 0)",0,"(1, 0, 1)",2,"[0, 4, 7, 4, 0, 4, 1, 4, 0]","[0.16667, 0.29167, 0.16667, 0.16667, 0.04167, 0.16667]","[1, 1, 0, 1, 0, 0]","[3, 5, 0, 4, 0, 4, 1, 3, 4]","[0.125, 0.20833, 0.0, 0.16667, 0.0, 0.16667, 0.04167, 0.125, 0.16667]"
"[(2, 0, 1), (1, 0, 2), (0, 1, 2), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",5,"[0, 2, 3, 2, 0, 3, 1, 1, 0]","[0.16667, 0.25, 0.16667, 0.25, 0.08333, 0.08333]","[1, 1, 0, 1, 0, 0]","[1, 3, 0, 2, 1, 1, 1, 0, 3]","[0.08333, 0.25, 0.0, 0.16667, 0.08333, 0.08333, 0.08333, 0.0, 0.25]"
"[(1, 0, 2), (1, 2, 0), (1, 2, 0), (2, 0, 1), (2, 1, 0), (2, 0, 1), (1, 2, 0), (2, 0, 1), (2, 0, 1), (1, 2, 0)]","(0, 1, 1)",0,"(1, 1, 0)",3,"[0, 4, 1, 6, 0, 5, 9, 5, 0]","[0.13333, 0.03333, 0.2, 0.16667, 0.3, 0.16667]","[1, 0, 0, 1, 1, 0]","[0, 5, 5, 5, 1, 4, 5, 4, 1]","[0.0, 0.16667, 0.16667, 0.16667, 0.03333, 0.13333, 0.16667, 0.13333, 0.03333]"
"[(2, 1, 0), (2, 0, 1), (0, 1, 2), (2, 1, 0), (2, 1, 0), (2, 0, 1)]","(0, 1, 1)",0,"(1, 1, 0)",5,"[0, 3, 1, 3, 0, 1, 5, 5, 0]","[0.16667, 0.05556, 0.16667, 0.05556, 0.27778, 0.27778]","[1, 0, 0, 0, 1, 1]","[1, 2, 3, 0, 4, 2, 5, 0, 1]","[0.05556, 0.11111, 0.16667, 0.0, 0.22222, 0.11111, 0.27778, 0.0, 0.05556]"
"[(0, 1, 2), (0, 1, 2), (2, 1, 0), (0, 1, 2), (2, 0, 1), (0, 1, 2), (2, 1, 0), (0, 1, 2), (2, 0, 1), (1, 2, 0), (2, 0, 1), (0, 1, 2)]","(1, 1, 0)",0,"(0, 1, 1)",3,"[0, 9, 6, 3, 0, 7, 6, 5, 0]","[0.25, 0.16667, 0.08333, 0.19444, 0.16667, 0.13889]","[1, 1, 0, 1, 0, 0]","[6, 3, 3, 1, 8, 3, 5, 1, 6]","[0.16667, 0.08333, 0.08333, 0.02778, 0.22222, 0.08333, 0.13889, 0.02778, 0.16667]"
"[(2, 1, 0), (2, 0, 1), (2, 0, 1), (2, 0, 1), (0, 2, 1), (2, 0, 1), (0, 1, 2), (2, 0, 1), (1, 0, 2), (1, 0, 2), (0, 1, 2), (0, 2, 1)]","(1, 0, 1)",0,"(1, 1, 0)",5,"[0, 9, 6, 3, 0, 4, 6, 8, 0]","[0.25, 0.16667, 0.08333, 0.11111, 0.16667, 0.22222]","[1, 1, 0, 1, 0, 0]","[4, 7, 1, 2, 3, 7, 6, 2, 4]","[0.11111, 0.19444, 0.02778, 0.05556, 0.08333, 0.19444, 0.16667, 0.05556, 0.11111]"
"[(0, 1, 2), (0, 1, 2), (2, 1, 0), (1, 0, 2), (1, 0, 2), (1, 0, 2), (0, 1, 2), (1, 2, 0), (2, 1, 0), (0, 1, 2), (1, 0, 2), (1, 2, 0), (0, 1, 2), (2, 1, 0), (1, 0, 2), (2, 1, 0), (0, 2, 1)]","(1, 1, 0)",0,"(1, 0, 1)",4,"[0, 6, 11, 11, 0, 12, 6, 5, 0]","[0.11765, 0.21569, 0.21569, 0.23529, 0.11765, 0.09804]","[1, 1, 0, 1, 0, 0]","[6, 5, 6, 7, 9, 1, 4, 3, 10]","[0.11765, 0.09804, 0.11765, 0.13725, 0.17647, 0.01961, 0.07843, 0.05882, 0.19608]"
"[(0, 2, 1), (0, 2, 1), (1, 2, 0), (2, 1, 0), (1, 2, 0), (1, 2, 0), (2, 1, 0), (0, 2, 1), (1, 2, 0), (0, 1, 2), (0, 2, 1), (2, 0, 1)]","(0, 1, 1)",0,"(1, 1, 0)",2,"[0, 6, 5, 6, 0, 5, 7, 7, 0]","[0.16667, 0.13889, 0.16667, 0.13889, 0.19444, 0.19444]","[1, 1, 0, 1, 0, 0]","[5, 1, 6, 4, 3, 5, 3, 8, 1]","[0.13889, 0.02778, 0.16667, 0.11111, 0.08333, 0.13889, 0.08333, 0.22222, 0.02778]"
"[(1, 0, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2)]","(1, 1, 0)",0,"(1, 0, 1)",11,"[0, 0, 7, 7, 0, 7, 0, 0, 0]","[0.0, 0.33333, 0.33333, 0.33333, 0.0, 0.0]","[0, 1, 1, 1, 0, 0]","[0, 7, 0, 7, 0, 0, 0, 0, 7]","[0.0, 0.33333, 0.0, 0.33333, 0.0, 0.0, 0.0, 0.0, 0.33333]"
"[(1, 2, 0), (2, 0, 1), (2, 1, 0), (1, 0, 2), (2, 0, 1), (2, 0, 1), (1, 2, 0), (0, 2, 1), (2, 0, 1), (0, 2, 1)]","(1, 0, 1)",0,"(1, 1, 0)",6,"[0, 6, 3, 4, 0, 3, 7, 7, 0]","[0.2, 0.1, 0.13333, 0.1, 0.23333, 0.23333]","[1, 1, 0, 1, 0, 0]","[2, 5, 3, 3, 1, 6, 5, 4, 1]","[0.06667, 0.16667, 0.1, 0.1, 0.03333, 0.2, 0.16667, 0.13333, 0.03333]"
"[(1, 2, 0), (2, 1, 0), (0, 2, 1), (0, 2, 1), (1, 2, 0), (1, 2, 0), (2, 1, 0), (1, 2, 0), (2, 1, 0), (2, 1, 0), (1, 2, 0), (0, 2, 1)]","(0, 1, 1)",0,"(1, 1, 0)",5,"[0, 3, 3, 9, 0, 5, 9, 7, 0]","[0.08333, 0.08333, 0.25, 0.13889, 0.25, 0.19444]","[1, 1, 0, 1, 0, 0]","[3, 0, 9, 5, 4, 3, 4, 8, 0]","[0.08333, 0.0, 0.25, 0.13889, 0.11111, 0.08333, 0.11111, 0.22222, 0.0]"
"[(1, 2, 0), (2, 1, 0), (1, 2, 0), (2, 1, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",11,"[0, 0, 0, 12, 0, 10, 12, 2, 0]","[0.0, 0.0, 0.33333, 0.27778, 0.33333, 0.05556]","[0, 0, 1, 1, 1, 0]","[0, 0, 12, 10, 2, 0, 2, 10, 0]","[0.0, 0.0, 0.33333, 0.27778, 0.05556, 0.0, 0.05556, 0.27778, 0.0]"
"[(2, 0, 1), (1, 0, 2), (2, 0, 1), (0, 2, 1), (1, 0, 2), (1, 2, 0), (0, 1, 2), (2, 0, 1), (0, 1, 2), (2, 0, 1), (0, 2, 1), (0, 2, 1), (0, 2, 1)]","(1, 0, 1)",0,"(0, 1, 1)",5,"[0, 10, 8, 3, 0, 5, 5, 8, 0]","[0.25641, 0.20513, 0.07692, 0.12821, 0.12821, 0.20513]","[1, 1, 0, 1, 0, 0]","[6, 6, 1, 3, 2, 8, 4, 5, 4]","[0.15385, 0.15385, 0.02564, 0.07692, 0.05128, 0.20513, 0.10256, 0.12821, 0.10256]"
"[(2, 0, 1), (0, 1, 2), (2, 0, 1), (2, 0, 1), (2, 1, 0), (0, 1, 2), (0, 1, 2), (0, 1, 2)]","(1, 0, 1)",0,"(0, 1, 1)",3,"[0, 7, 4, 1, 0, 4, 4, 4, 0]","[0.29167, 0.16667, 0.04167, 0.16667, 0.16667, 0.16667]","[1, 1, 0, 1, 0, 0]","[4, 3, 1, 0, 5, 3, 4, 0, 4]","[0.16667, 0.125, 0.04167, 0.0, 0.20833, 0.125, 0.16667, 0.0, 0.16667]"
"[(1, 2, 0), (1, 2, 0), (1, 0, 2), (1, 2, 0), (2, 0, 1), (1, 0, 2), (1, 2, 0), (2, 0, 1), (2, 0, 1), (0, 2, 1), (1, 0, 2)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 4, 4, 7, 0, 7, 7, 4, 0]","[0.12121, 0.12121, 0.21212, 0.21212, 0.21212, 0.12121]","[1, 1, 0, 1, 0, 0]","[1, 6, 4, 7, 0, 4, 3, 5, 3]","[0.0303, 0.18182, 0.12121, 0.21212, 0.0, 0.12121, 0.09091, 0.15152, 0.09091]"
"[(0, 2, 1), (0, 1, 2), (2, 0, 1), (2, 0, 1), (1, 0, 2), (0, 1, 2), (1, 0, 2), (1, 0, 2), (1, 0, 2)]","(1, 1, 0)",0,"(0, 1, 1)",5,"[0, 5, 7, 4, 0, 6, 2, 3, 0]","[0.18519, 0.25926, 0.14815, 0.22222, 0.07407, 0.11111]","[1, 1, 0, 1, 0, 0]","[3, 6, 0, 4, 2, 3, 2, 1, 6]","[0.11111, 0.22222, 0.0, 0.14815, 0.07407, 0.11111, 0.07407, 0.03704, 0.22222]"
"[(1, 2, 0), (1, 2, 0), (0, 2, 1), (2, 1, 0), (2, 0, 1), (1, 2, 0)]","(0, 1, 1)",0,"(1, 0, 1)",5,"[0, 2, 1, 4, 0, 3, 5, 3, 0]","[0.11111, 0.05556, 0.22222, 0.16667, 0.27778, 0.16667]","[1, 0, 0, 1, 1, 0]","[1, 1, 4, 3, 1, 2, 2, 4, 0]","[0.05556, 0.05556, 0.22222, 0.16667, 0.05556, 0.11111, 0.11111, 0.22222, 0.0]"
"[(0, 1, 2), (2, 1, 0), (2, 0, 1), (2, 0, 1), (0, 2, 1), (0, 1, 2), (1, 0, 2), (0, 1, 2), (0, 1, 2)]","(1, 1, 0)",0,"(0, 1, 1)",7,"[0, 7, 6, 2, 0, 5, 3, 4, 0]","[0.25926, 0.22222, 0.07407, 0.18519, 0.11111, 0.14815]","[1, 1, 0, 1, 0, 0]","[5, 3, 1, 1, 5, 3, 3, 1, 5]","[0.18519, 0.11111, 0.03704, 0.03704, 0.18519, 0.11111, 0.11111, 0.03704, 0.18519]"
