Profile,Winner,Num_Violations,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized
"[(0, 3, 4, 1, 2), (1, 0, 4, 2, 3), (3, 2, 4, 0, 1), (0, 2, 4, 3, 1), (4, 1, 2, 0, 3), (2, 0, 1, 4, 3), (0, 4, 3, 2, 1), (3, 0, 2, 4, 1), (4, 0, 2, 1, 3), (4, 1, 3, 0, 2), (3, 2, 0, 1, 4), (2, 0, 3, 4, 1), (0, 4, 2, 3, 1), (1, 3, 2, 0, 4), (0, 1, 4, 3, 2), (1, 3, 0, 2, 4), (3, 4, 0, 1, 2), (3, 0, 1, 4, 2), (2, 4, 1, 3, 0), (2, 3, 0, 1, 4)]","(1, 0, 0, 1, 1)",0,"(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","[0, 14, 12, 10, 14, 6, 0, 9, 9, 8, 8, 11, 0, 9, 10, 10, 11, 11, 0, 10, 6, 12, 10, 10, 0]","[0.0, 0.07, 0.06, 0.05, 0.07, 0.03, 0.0, 0.045, 0.045, 0.04, 0.04, 0.055, 0.0, 0.045, 0.05, 0.05, 0.055, 0.055, 0.0, 0.05, 0.03, 0.06, 0.05, 0.05, 0.0]","[14, 12, 10, 14, 6, 9, 9, 8, 8, 11, 9, 10, 10, 11, 11, 10, 6, 12, 10, 10]","[0.07, 0.06, 0.05, 0.07, 0.03, 0.045, 0.045, 0.04, 0.04, 0.055, 0.045, 0.05, 0.05, 0.055, 0.055, 0.05, 0.03, 0.06, 0.05, 0.05]","[0.13333 0.11429 0.09524 0.13333 0.08571 0.08571 0.07619 0.08571 0.09524
 0.09524]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[5, 6, 4, 4, 1, 3, 3, 3, 5, 6, 4, 3, 5, 3, 5, 5, 4, 3, 4, 4, 3, 4, 5, 4, 4]","[0.05, 0.06, 0.04, 0.04, 0.01, 0.03, 0.03, 0.03, 0.05, 0.06, 0.04, 0.03, 0.05, 0.03, 0.05, 0.05, 0.04, 0.03, 0.04, 0.04, 0.03, 0.04, 0.05, 0.04, 0.04]"
"[(3, 2, 4, 0, 1), (2, 4, 0, 3, 1), (0, 4, 3, 2, 1), (1, 3, 2, 0, 4), (3, 2, 0, 4, 1), (0, 4, 2, 1, 3), (3, 4, 0, 2, 1), (0, 4, 1, 2, 3), (4, 3, 0, 2, 1), (3, 1, 0, 2, 4), (0, 2, 4, 1, 3), (2, 0, 3, 4, 1), (1, 3, 0, 4, 2), (2, 1, 4, 0, 3), (1, 4, 0, 3, 2), (0, 3, 1, 2, 4), (2, 3, 0, 4, 1), (1, 3, 0, 4, 2), (1, 0, 2, 4, 3), (1, 4, 0, 3, 2)]","(0, 1, 0, 1, 1)",1,"(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(1, 1, 0, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","[0, 12, 13, 11, 13, 8, 0, 9, 10, 9, 7, 11, 0, 8, 11, 9, 10, 12, 0, 10, 7, 11, 9, 10, 0]","[0.0, 0.06, 0.065, 0.055, 0.065, 0.04, 0.0, 0.045, 0.05, 0.045, 0.035, 0.055, 0.0, 0.04, 0.055, 0.045, 0.05, 0.06, 0.0, 0.05, 0.035, 0.055, 0.045, 0.05, 0.0]","[12, 13, 11, 13, 8, 9, 10, 9, 7, 11, 8, 11, 9, 10, 12, 10, 7, 11, 9, 10]","[0.06, 0.065, 0.055, 0.065, 0.04, 0.045, 0.05, 0.045, 0.035, 0.055, 0.04, 0.055, 0.045, 0.05, 0.06, 0.05, 0.035, 0.055, 0.045, 0.05]","[0.11321 0.12264 0.10377 0.12264 0.08491 0.09434 0.08491 0.07547 0.10377
 0.09434]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 0, 0, 0, 1, 0]","[5, 2, 10, 3, 0, 6, 2, 2, 2, 8, 4, 3, 3, 6, 4, 4, 6, 2, 3, 5, 1, 7, 3, 6, 3]","[0.05, 0.02, 0.1, 0.03, 0.0, 0.06, 0.02, 0.02, 0.02, 0.08, 0.04, 0.03, 0.03, 0.06, 0.04, 0.04, 0.06, 0.02, 0.03, 0.05, 0.01, 0.07, 0.03, 0.06, 0.03]"
"[(0, 4, 1, 3, 2), (3, 0, 1, 4, 2), (1, 4, 0, 2, 3), (1, 0, 2, 4, 3), (4, 3, 0, 2, 1), (4, 3, 1, 0, 2), (2, 1, 4, 3, 0), (0, 3, 2, 1, 4), (1, 3, 4, 2, 0), (2, 3, 1, 0, 4), (3, 0, 1, 4, 2), (4, 3, 0, 2, 1), (1, 3, 4, 0, 2), (1, 3, 0, 4, 2), (2, 4, 0, 1, 3), (1, 4, 2, 3, 0), (1, 4, 0, 3, 2), (2, 1, 4, 0, 3), (0, 4, 1, 2, 3), (0, 4, 1, 2, 3)]","(0, 1, 0, 1, 1)",0,"(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","[0, 9, 14, 9, 9, 11, 0, 13, 13, 13, 6, 7, 0, 9, 6, 11, 7, 11, 0, 7, 11, 7, 14, 13, 0]","[0.0, 0.045, 0.07, 0.045, 0.045, 0.055, 0.0, 0.065, 0.065, 0.065, 0.03, 0.035, 0.0, 0.045, 0.03, 0.055, 0.035, 0.055, 0.0, 0.035, 0.055, 0.035, 0.07, 0.065, 0.0]","[9, 14, 9, 9, 11, 13, 13, 13, 6, 7, 9, 6, 11, 7, 11, 7, 11, 7, 14, 13]","[0.045, 0.07, 0.045, 0.045, 0.055, 0.065, 0.065, 0.065, 0.03, 0.035, 0.045, 0.03, 0.055, 0.035, 0.055, 0.035, 0.055, 0.035, 0.07, 0.065]","[0.08824 0.13725 0.08824 0.08824 0.12745 0.12745 0.12745 0.08824 0.05882
 0.06863]","[0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 1, 1, 0, 0, 0]","[4, 3, 6, 4, 3, 7, 2, 7, 2, 2, 4, 0, 3, 6, 7, 2, 8, 0, 4, 6, 3, 7, 4, 4, 2]","[0.04, 0.03, 0.06, 0.04, 0.03, 0.07, 0.02, 0.07, 0.02, 0.02, 0.04, 0.0, 0.03, 0.06, 0.07, 0.02, 0.08, 0.0, 0.04, 0.06, 0.03, 0.07, 0.04, 0.04, 0.02]"
"[(3, 2, 0, 1, 4), (2, 3, 0, 1, 4), (2, 0, 3, 4, 1), (3, 1, 4, 2, 0), (4, 2, 3, 1, 0), (4, 1, 3, 2, 0), (3, 0, 2, 4, 1), (0, 1, 2, 4, 3), (1, 2, 4, 3, 0), (4, 0, 1, 2, 3), (1, 3, 2, 0, 4), (1, 0, 4, 3, 2), (4, 1, 0, 3, 2), (4, 1, 0, 2, 3), (2, 3, 0, 1, 4), (0, 3, 4, 2, 1), (3, 0, 1, 2, 4), (0, 1, 2, 4, 3), (3, 0, 2, 1, 4), (4, 1, 2, 3, 0)]","(0, 0, 1, 1, 1)",1,"(1, 1, 0, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","[0, 11, 10, 8, 12, 9, 0, 12, 10, 11, 10, 8, 0, 10, 11, 12, 10, 10, 0, 10, 8, 9, 9, 10, 0]","[0.0, 0.055, 0.05, 0.04, 0.06, 0.045, 0.0, 0.06, 0.05, 0.055, 0.05, 0.04, 0.0, 0.05, 0.055, 0.06, 0.05, 0.05, 0.0, 0.05, 0.04, 0.045, 0.045, 0.05, 0.0]","[11, 10, 8, 12, 9, 12, 10, 11, 10, 8, 10, 11, 12, 10, 10, 10, 8, 9, 9, 10]","[0.055, 0.05, 0.04, 0.06, 0.045, 0.06, 0.05, 0.055, 0.05, 0.04, 0.05, 0.055, 0.06, 0.05, 0.05, 0.05, 0.04, 0.045, 0.045, 0.05]","[0.10476 0.09524 0.07619 0.11429 0.11429 0.09524 0.10476 0.09524 0.10476
 0.09524]","[0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 1, 1, 0, 1, 0, 1, 0]","[3, 6, 5, 1, 5, 3, 7, 2, 5, 3, 3, 3, 6, 6, 2, 5, 4, 3, 4, 4, 6, 0, 4, 4, 6]","[0.03, 0.06, 0.05, 0.01, 0.05, 0.03, 0.07, 0.02, 0.05, 0.03, 0.03, 0.03, 0.06, 0.06, 0.02, 0.05, 0.04, 0.03, 0.04, 0.04, 0.06, 0.0, 0.04, 0.04, 0.06]"
"[(2, 1, 3, 0, 4), (1, 0, 3, 4, 2), (2, 0, 1, 3, 4), (2, 4, 3, 1, 0), (4, 3, 1, 0, 2), (0, 3, 4, 1, 2), (3, 2, 4, 0, 1), (4, 1, 3, 2, 0), (0, 2, 1, 3, 4), (0, 2, 3, 4, 1), (3, 2, 4, 1, 0), (3, 2, 4, 0, 1), (1, 0, 4, 2, 3), (0, 4, 2, 3, 1), (1, 2, 0, 4, 3), (1, 3, 4, 0, 2), (1, 4, 3, 0, 2), (3, 4, 2, 0, 1), (1, 4, 2, 3, 0), (1, 3, 2, 0, 4)]","(0, 1, 0, 1, 1)",0,"(0, 1, 1, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","[0, 8, 9, 8, 10, 12, 0, 10, 11, 10, 11, 10, 0, 9, 10, 12, 9, 11, 0, 12, 10, 10, 10, 8, 0]","[0.0, 0.04, 0.045, 0.04, 0.05, 0.06, 0.0, 0.05, 0.055, 0.05, 0.055, 0.05, 0.0, 0.045, 0.05, 0.06, 0.045, 0.055, 0.0, 0.06, 0.05, 0.05, 0.05, 0.04, 0.0]","[8, 9, 8, 10, 12, 10, 11, 10, 11, 10, 9, 10, 12, 9, 11, 12, 10, 10, 10, 8]","[0.04, 0.045, 0.04, 0.05, 0.06, 0.05, 0.055, 0.05, 0.055, 0.05, 0.045, 0.05, 0.06, 0.045, 0.055, 0.06, 0.05, 0.05, 0.05, 0.04]","[0.08247 0.09278 0.08247 0.10309 0.10309 0.1134  0.10309 0.09278 0.10309
 0.12371]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1]","[4, 3, 1, 8, 4, 7, 2, 3, 3, 5, 3, 6, 4, 2, 5, 4, 4, 6, 4, 2, 2, 5, 6, 3, 4]","[0.04, 0.03, 0.01, 0.08, 0.04, 0.07, 0.02, 0.03, 0.03, 0.05, 0.03, 0.06, 0.04, 0.02, 0.05, 0.04, 0.04, 0.06, 0.04, 0.02, 0.02, 0.05, 0.06, 0.03, 0.04]"
"[(0, 4, 1, 3, 2), (3, 4, 2, 0, 1), (2, 1, 4, 3, 0), (1, 3, 4, 2, 0), (2, 0, 4, 3, 1), (2, 0, 3, 1, 4), (4, 0, 3, 1, 2), (4, 1, 0, 3, 2), (0, 3, 1, 2, 4), (0, 1, 4, 3, 2), (1, 3, 4, 2, 0), (1, 0, 4, 2, 3), (3, 0, 4, 1, 2), (0, 1, 3, 2, 4), (0, 3, 2, 1, 4), (4, 1, 0, 3, 2), (4, 3, 2, 1, 0), (1, 4, 2, 0, 3), (3, 1, 4, 0, 2), (1, 3, 2, 0, 4)]","(1, 1, 0, 0, 1)",0,"(1, 1, 0, 1, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","[0, 10, 11, 12, 10, 10, 0, 14, 11, 12, 9, 6, 0, 5, 7, 8, 9, 15, 0, 10, 10, 8, 13, 10, 0]","[0.0, 0.05, 0.055, 0.06, 0.05, 0.05, 0.0, 0.07, 0.055, 0.06, 0.045, 0.03, 0.0, 0.025, 0.035, 0.04, 0.045, 0.075, 0.0, 0.05, 0.05, 0.04, 0.065, 0.05, 0.0]","[10, 11, 12, 10, 10, 14, 11, 12, 9, 6, 5, 7, 8, 9, 15, 10, 10, 8, 13, 10]","[0.05, 0.055, 0.06, 0.05, 0.05, 0.07, 0.055, 0.06, 0.045, 0.03, 0.025, 0.035, 0.04, 0.045, 0.075, 0.05, 0.05, 0.04, 0.065, 0.05]","[0.09804 0.10784 0.11765 0.09804 0.13725 0.10784 0.11765 0.04902 0.06863
 0.09804]","[0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]","[0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0]","[0, 1, 1, 0, 1, 1, 1, 0, 0, 0]","[5, 5, 2, 4, 4, 5, 6, 2, 5, 2, 3, 0, 5, 5, 7, 3, 6, 3, 6, 2, 4, 3, 8, 0, 5]","[0.05, 0.05, 0.02, 0.04, 0.04, 0.05, 0.06, 0.02, 0.05, 0.02, 0.03, 0.0, 0.05, 0.05, 0.07, 0.03, 0.06, 0.03, 0.06, 0.02, 0.04, 0.03, 0.08, 0.0, 0.05]"
"[(4, 1, 2, 3, 0), (2, 4, 3, 0, 1), (3, 2, 0, 1, 4), (0, 1, 2, 4, 3), (1, 4, 3, 2, 0), (3, 1, 4, 2, 0), (1, 0, 4, 3, 2), (1, 4, 3, 2, 0), (0, 3, 1, 4, 2), (4, 0, 3, 1, 2), (4, 1, 2, 3, 0), (1, 2, 4, 3, 0), (0, 2, 1, 4, 3), (0, 2, 3, 1, 4), (1, 3, 4, 2, 0), (4, 0, 3, 1, 2), (1, 2, 0, 4, 3), (3, 2, 0, 4, 1), (1, 0, 2, 3, 4), (2, 0, 4, 3, 1)]","(0, 1, 0, 1, 1)",0,"(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","[0, 10, 8, 10, 10, 10, 0, 14, 11, 13, 12, 6, 0, 10, 10, 10, 9, 10, 0, 7, 10, 7, 10, 13, 0]","[0.0, 0.05, 0.04, 0.05, 0.05, 0.05, 0.0, 0.07, 0.055, 0.065, 0.06, 0.03, 0.0, 0.05, 0.05, 0.05, 0.045, 0.05, 0.0, 0.035, 0.05, 0.035, 0.05, 0.065, 0.0]","[10, 8, 10, 10, 10, 14, 11, 13, 12, 6, 10, 10, 10, 9, 10, 7, 10, 7, 10, 13]","[0.05, 0.04, 0.05, 0.05, 0.05, 0.07, 0.055, 0.065, 0.06, 0.03, 0.05, 0.05, 0.05, 0.045, 0.05, 0.035, 0.05, 0.035, 0.05, 0.065]","[0.09709 0.07767 0.09709 0.09709 0.13592 0.1068  0.12621 0.09709 0.09709
 0.06796]","[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 0, 0, 1, 1, 1, 0, 0, 0]","[4, 5, 3, 1, 7, 7, 4, 2, 4, 3, 2, 6, 4, 4, 4, 3, 2, 6, 6, 3, 4, 3, 5, 5, 3]","[0.04, 0.05, 0.03, 0.01, 0.07, 0.07, 0.04, 0.02, 0.04, 0.03, 0.02, 0.06, 0.04, 0.04, 0.04, 0.03, 0.02, 0.06, 0.06, 0.03, 0.04, 0.03, 0.05, 0.05, 0.03]"
"[(0, 2, 1, 4, 3), (1, 4, 2, 0, 3), (4, 0, 2, 1, 3), (4, 2, 3, 0, 1), (1, 2, 0, 3, 4), (1, 0, 2, 4, 3), (1, 2, 0, 4, 3), (0, 4, 3, 2, 1), (4, 3, 0, 2, 1), (1, 2, 4, 0, 3), (0, 1, 4, 3, 2), (1, 4, 2, 0, 3), (0, 2, 1, 3, 4), (0, 1, 3, 2, 4), (4, 3, 1, 2, 0), (3, 0, 2, 1, 4), (3, 1, 4, 2, 0), (3, 0, 4, 1, 2), (2, 4, 1, 0, 3), (3, 1, 2, 0, 4)]","(1, 1, 0, 0, 1)",0,"(1, 1, 1, 0, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","[0, 10, 10, 13, 11, 10, 0, 12, 12, 13, 10, 8, 0, 11, 10, 7, 8, 9, 0, 7, 9, 7, 10, 13, 0]","[0.0, 0.05, 0.05, 0.065, 0.055, 0.05, 0.0, 0.06, 0.06, 0.065, 0.05, 0.04, 0.0, 0.055, 0.05, 0.035, 0.04, 0.045, 0.0, 0.035, 0.045, 0.035, 0.05, 0.065, 0.0]","[10, 10, 13, 11, 10, 12, 12, 13, 10, 8, 11, 10, 7, 8, 9, 7, 9, 7, 10, 13]","[0.05, 0.05, 0.065, 0.055, 0.05, 0.06, 0.06, 0.065, 0.05, 0.04, 0.055, 0.05, 0.035, 0.04, 0.045, 0.035, 0.045, 0.035, 0.05, 0.065]","[0.09174 0.09174 0.11927 0.10092 0.11009 0.11009 0.11927 0.10092 0.09174
 0.06422]","[0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0]","[0, 0, 1, 1, 0, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1]","[0, 0, 1, 1, 1, 1, 1, 1, 0, 0]","[5, 4, 3, 6, 2, 6, 4, 4, 3, 3, 1, 6, 6, 5, 2, 4, 2, 3, 3, 8, 4, 4, 4, 3, 5]","[0.05, 0.04, 0.03, 0.06, 0.02, 0.06, 0.04, 0.04, 0.03, 0.03, 0.01, 0.06, 0.06, 0.05, 0.02, 0.04, 0.02, 0.03, 0.03, 0.08, 0.04, 0.04, 0.04, 0.03, 0.05]"
"[(2, 0, 4, 1, 3), (4, 0, 2, 1, 3), (2, 0, 4, 1, 3), (1, 0, 3, 2, 4), (1, 0, 3, 4, 2), (0, 4, 3, 2, 1), (1, 3, 4, 2, 0), (3, 0, 1, 4, 2), (3, 0, 1, 4, 2), (0, 4, 1, 2, 3), (0, 2, 4, 3, 1), (3, 0, 2, 1, 4), (3, 4, 1, 0, 2), (1, 4, 3, 0, 2), (3, 1, 4, 0, 2), (4, 2, 1, 0, 3), (3, 2, 4, 0, 1), (1, 0, 3, 4, 2), (3, 0, 4, 1, 2), (0, 1, 4, 2, 3)]","(1, 1, 0, 1, 0)",0,"(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 0, 1, 1)","(0, 0, 1, 1, 1)","[0, 12, 15, 11, 13, 8, 0, 12, 11, 10, 5, 8, 0, 7, 6, 9, 9, 13, 0, 11, 7, 10, 14, 9, 0]","[0.0, 0.06, 0.075, 0.055, 0.065, 0.04, 0.0, 0.06, 0.055, 0.05, 0.025, 0.04, 0.0, 0.035, 0.03, 0.045, 0.045, 0.065, 0.0, 0.055, 0.035, 0.05, 0.07, 0.045, 0.0]","[12, 15, 11, 13, 8, 12, 11, 10, 5, 8, 7, 6, 9, 9, 13, 11, 7, 10, 14, 9]","[0.06, 0.075, 0.055, 0.065, 0.04, 0.06, 0.055, 0.05, 0.025, 0.04, 0.035, 0.03, 0.045, 0.045, 0.065, 0.055, 0.035, 0.05, 0.07, 0.045]","[0.11111 0.13889 0.10185 0.12037 0.11111 0.10185 0.09259 0.06481 0.05556
 0.10185]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1]","[4, 10, 0, 5, 1, 5, 2, 5, 5, 3, 2, 3, 2, 5, 8, 7, 1, 5, 1, 6, 2, 4, 8, 4, 2]","[0.04, 0.1, 0.0, 0.05, 0.01, 0.05, 0.02, 0.05, 0.05, 0.03, 0.02, 0.03, 0.02, 0.05, 0.08, 0.07, 0.01, 0.05, 0.01, 0.06, 0.02, 0.04, 0.08, 0.04, 0.02]"
"[(2, 1, 4, 3, 0), (2, 0, 1, 3, 4), (0, 3, 1, 4, 2), (1, 4, 0, 3, 2), (2, 3, 1, 0, 4), (4, 2, 0, 3, 1), (0, 3, 1, 4, 2), (1, 4, 3, 0, 2), (0, 3, 4, 1, 2), (3, 1, 0, 4, 2), (0, 4, 3, 2, 1), (4, 0, 3, 1, 2), (3, 0, 2, 4, 1), (0, 2, 1, 4, 3), (4, 0, 2, 1, 3), (2, 0, 1, 4, 3), (4, 3, 2, 0, 1), (1, 2, 3, 0, 4), (3, 2, 0, 1, 4), (1, 2, 0, 4, 3)]","(0, 0, 1, 1, 1)",0,"(1, 1, 0, 1, 0)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","[0, 13, 11, 12, 13, 7, 0, 9, 9, 13, 9, 11, 0, 9, 9, 8, 11, 11, 0, 9, 7, 7, 11, 11, 0]","[0.0, 0.065, 0.055, 0.06, 0.065, 0.035, 0.0, 0.045, 0.045, 0.065, 0.045, 0.055, 0.0, 0.045, 0.045, 0.04, 0.055, 0.055, 0.0, 0.045, 0.035, 0.035, 0.055, 0.055, 0.0]","[13, 11, 12, 13, 7, 9, 9, 13, 9, 11, 9, 9, 8, 11, 11, 9, 7, 7, 11, 11]","[0.065, 0.055, 0.06, 0.065, 0.035, 0.045, 0.045, 0.065, 0.045, 0.055, 0.045, 0.045, 0.04, 0.055, 0.055, 0.045, 0.035, 0.035, 0.055, 0.055]","[0.1215  0.1028  0.11215 0.1215  0.08411 0.08411 0.1215  0.08411 0.08411
 0.08411]","[0, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0]","[1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1]","[1, 1, 1, 1, 0, 0, 1, 0, 0, 0]","[5, 5, 5, 4, 1, 4, 2, 6, 4, 4, 4, 5, 3, 1, 7, 3, 5, 4, 4, 4, 4, 3, 2, 7, 4]","[0.05, 0.05, 0.05, 0.04, 0.01, 0.04, 0.02, 0.06, 0.04, 0.04, 0.04, 0.05, 0.03, 0.01, 0.07, 0.03, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.02, 0.07, 0.04]"
