Profile,Winner,Num_Violations,candidate_pairs,candidate_pairs-normalized,candidate_pairs-no_diagonal,candidate_pairs-normalized-no_diagonal,candidate_pairs-normalized-upper_half,binary_pairs,binary_pairs-no_diagonal,binary_pairs-upper_half,rank_matrix,rank_matrix-normalized,Borda ranking Winner,Plurality ranking Winner,STV Winner,Approval Voting (AV) Winner,Proportional Approval Voting (PAV) Winner,Approval Chamberlin-Courant (CC) Winner,Lexicographic Chamberlin-Courant (lex-CC) Winner,Sequential Approval Chamberlin-Courant (seq-CC) Winner,Monroe's Approval Rule (Monroe) Winner,Greedy Monroe Winner,Minimax Approval Voting (MAV) Winner
"[(1, 4, 3, 0, 2), (3, 1, 4, 2, 0), (4, 1, 0, 2, 3), (1, 4, 3, 0, 2), (4, 3, 2, 1, 0), (3, 1, 4, 0, 2), (0, 3, 1, 2, 4), (1, 4, 0, 2, 3), (3, 0, 4, 2, 1), (4, 3, 0, 1, 2)]","(0, 1, 0, 1, 1)",0,"[0, 3, 8, 3, 2, 7, 0, 8, 4, 6, 2, 2, 0, 2, 1, 7, 6, 8, 0, 4, 8, 4, 9, 6, 0]","[0.0, 0.03, 0.08, 0.03, 0.02, 0.07, 0.0, 0.08, 0.04, 0.06, 0.02, 0.02, 0.0, 0.02, 0.01, 0.07, 0.06, 0.08, 0.0, 0.04, 0.08, 0.04, 0.09, 0.06, 0.0]","[3, 8, 3, 2, 7, 8, 4, 6, 2, 2, 2, 1, 7, 6, 8, 4, 8, 4, 9, 6]","[0.03, 0.08, 0.03, 0.02, 0.07, 0.08, 0.04, 0.06, 0.02, 0.02, 0.02, 0.01, 0.07, 0.06, 0.08, 0.04, 0.08, 0.04, 0.09, 0.06]","[0.07317 0.19512 0.07317 0.04878 0.19512 0.09756 0.14634 0.04878 0.02439
 0.09756]","[0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0]","[0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1]","[0, 1, 0, 0, 1, 0, 1, 0, 0, 0]","[1, 1, 3, 3, 2, 3, 3, 1, 2, 1, 0, 0, 1, 5, 4, 3, 3, 2, 0, 2, 3, 3, 3, 0, 1]","[0.02, 0.02, 0.06, 0.06, 0.04, 0.06, 0.06, 0.02, 0.04, 0.02, 0.0, 0.0, 0.02, 0.1, 0.08, 0.06, 0.06, 0.04, 0.0, 0.04, 0.06, 0.06, 0.06, 0.0, 0.02]","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 1, 0, 1, 1)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 0, 1)","(0, 1, 0, 1, 1)","(1, 0, 0, 1, 1)","(0, 1, 0, 1, 1)"
"[(1, 0, 2, 3, 4), (0, 4, 1, 3, 2), (3, 0, 4, 2, 1), (1, 2, 3, 4, 0), (2, 3, 0, 1, 4), (3, 0, 4, 1, 2), (1, 4, 0, 3, 2), (4, 1, 2, 3, 0), (0, 4, 1, 3, 2), (1, 3, 4, 0, 2)]","(1, 1, 0, 1, 0)",0,"[0, 5, 7, 4, 6, 5, 0, 8, 7, 5, 3, 2, 0, 4, 3, 6, 3, 6, 0, 6, 4, 5, 7, 4, 0]","[0.0, 0.05, 0.07, 0.04, 0.06, 0.05, 0.0, 0.08, 0.07, 0.05, 0.03, 0.02, 0.0, 0.04, 0.03, 0.06, 0.03, 0.06, 0.0, 0.06, 0.04, 0.05, 0.07, 0.04, 0.0]","[5, 7, 4, 6, 5, 8, 7, 5, 3, 2, 4, 3, 6, 3, 6, 6, 4, 5, 7, 4]","[0.05, 0.07, 0.04, 0.06, 0.05, 0.08, 0.07, 0.05, 0.03, 0.02, 0.04, 0.03, 0.06, 0.03, 0.06, 0.06, 0.04, 0.05, 0.07, 0.04]","[0.09091 0.12727 0.07273 0.10909 0.14545 0.12727 0.09091 0.07273 0.05455
 0.10909]","[0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0]","[0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0]","[0, 1, 0, 1, 1, 1, 0, 0, 0, 1]","[2, 3, 2, 1, 2, 4, 1, 2, 2, 1, 1, 1, 2, 1, 5, 2, 2, 1, 5, 0, 1, 3, 3, 1, 2]","[0.04, 0.06, 0.04, 0.02, 0.04, 0.08, 0.02, 0.04, 0.04, 0.02, 0.02, 0.02, 0.04, 0.02, 0.1, 0.04, 0.04, 0.02, 0.1, 0.0, 0.02, 0.06, 0.06, 0.02, 0.04]","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)"
"[(3, 0, 2, 4, 1), (2, 1, 3, 0, 4), (3, 1, 4, 0, 2), (4, 0, 2, 1, 3), (3, 0, 4, 2, 1), (0, 3, 2, 1, 4), (3, 0, 1, 4, 2), (3, 2, 0, 4, 1), (3, 0, 1, 4, 2), (4, 3, 2, 0, 1)]","(1, 0, 0, 1, 1)",0,"[0, 8, 7, 2, 7, 2, 0, 3, 2, 5, 3, 7, 0, 2, 4, 8, 8, 8, 0, 8, 3, 5, 6, 2, 0]","[0.0, 0.08, 0.07, 0.02, 0.07, 0.02, 0.0, 0.03, 0.02, 0.05, 0.03, 0.07, 0.0, 0.02, 0.04, 0.08, 0.08, 0.08, 0.0, 0.08, 0.03, 0.05, 0.06, 0.02, 0.0]","[8, 7, 2, 7, 2, 3, 2, 5, 3, 7, 2, 4, 8, 8, 8, 8, 3, 5, 6, 2]","[0.08, 0.07, 0.02, 0.07, 0.02, 0.03, 0.02, 0.05, 0.03, 0.07, 0.02, 0.04, 0.08, 0.08, 0.08, 0.08, 0.03, 0.05, 0.06, 0.02]","[0.16667 0.14583 0.04167 0.14583 0.0625  0.04167 0.10417 0.04167 0.08333
 0.16667]","[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[1, 5, 1, 3, 0, 0, 2, 2, 2, 4, 1, 1, 4, 1, 3, 6, 2, 1, 0, 1, 2, 0, 2, 4, 2]","[0.02, 0.1, 0.02, 0.06, 0.0, 0.0, 0.04, 0.04, 0.04, 0.08, 0.02, 0.02, 0.08, 0.02, 0.06, 0.12, 0.04, 0.02, 0.0, 0.02, 0.04, 0.0, 0.04, 0.08, 0.04]","(1, 0, 1, 1, 0)","(1, 0, 0, 1, 1)","(1, 0, 0, 1, 1)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)"
"[(1, 0, 4, 3, 2), (4, 1, 0, 3, 2), (1, 0, 3, 4, 2), (1, 0, 2, 4, 3), (1, 0, 3, 4, 2), (1, 4, 0, 2, 3), (1, 0, 4, 2, 3), (1, 0, 3, 4, 2), (1, 0, 4, 3, 2), (3, 1, 4, 0, 2)]","(1, 1, 0, 0, 1)",0,"[0, 0, 10, 9, 7, 10, 0, 10, 9, 9, 0, 0, 0, 3, 1, 1, 1, 7, 0, 4, 3, 1, 9, 6, 0]","[0.0, 0.0, 0.1, 0.09, 0.07, 0.1, 0.0, 0.1, 0.09, 0.09, 0.0, 0.0, 0.0, 0.03, 0.01, 0.01, 0.01, 0.07, 0.0, 0.04, 0.03, 0.01, 0.09, 0.06, 0.0]","[0, 10, 9, 7, 10, 10, 9, 9, 0, 0, 3, 1, 1, 1, 7, 4, 3, 1, 9, 6]","[0.0, 0.1, 0.09, 0.07, 0.1, 0.1, 0.09, 0.09, 0.0, 0.0, 0.03, 0.01, 0.01, 0.01, 0.07, 0.04, 0.03, 0.01, 0.09, 0.06]","[0.      0.16129 0.14516 0.1129  0.16129 0.14516 0.14516 0.04839 0.01613
 0.06452]","[0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]","[0, 1, 1, 1, 1, 1, 1, 0, 0, 0]","[0, 7, 2, 1, 0, 8, 2, 0, 0, 0, 0, 0, 1, 2, 7, 1, 0, 3, 3, 3, 1, 1, 4, 4, 0]","[0.0, 0.14, 0.04, 0.02, 0.0, 0.16, 0.04, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02, 0.04, 0.14, 0.02, 0.0, 0.06, 0.06, 0.06, 0.02, 0.02, 0.08, 0.08, 0.0]","(1, 1, 0, 0, 1)","(0, 1, 0, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 1, 0, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 0, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 0, 0, 1)"
"[(0, 1, 2, 4, 3), (0, 3, 1, 2, 4), (1, 0, 2, 3, 4), (0, 2, 3, 1, 4), (0, 1, 3, 2, 4), (0, 1, 2, 3, 4), (1, 0, 2, 3, 4), (0, 1, 2, 3, 4), (0, 1, 3, 4, 2), (0, 3, 1, 2, 4)]","(1, 1, 1, 0, 0)",0,"[0, 8, 10, 10, 10, 2, 0, 9, 7, 10, 0, 1, 0, 6, 9, 0, 3, 4, 0, 9, 0, 0, 1, 1, 0]","[0.0, 0.08, 0.1, 0.1, 0.1, 0.02, 0.0, 0.09, 0.07, 0.1, 0.0, 0.01, 0.0, 0.06, 0.09, 0.0, 0.03, 0.04, 0.0, 0.09, 0.0, 0.0, 0.01, 0.01, 0.0]","[8, 10, 10, 10, 2, 9, 7, 10, 0, 1, 6, 9, 0, 3, 4, 9, 0, 0, 1, 1]","[0.08, 0.1, 0.1, 0.1, 0.02, 0.09, 0.07, 0.1, 0.0, 0.01, 0.06, 0.09, 0.0, 0.03, 0.04, 0.09, 0.0, 0.0, 0.01, 0.01]","[0.09091 0.11364 0.11364 0.11364 0.10227 0.07955 0.11364 0.06818 0.10227
 0.10227]","[0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]","[1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[8, 2, 0, 0, 0, 2, 5, 2, 1, 0, 0, 1, 5, 3, 1, 0, 2, 3, 4, 1, 0, 0, 0, 2, 8]","[0.16, 0.04, 0.0, 0.0, 0.0, 0.04, 0.1, 0.04, 0.02, 0.0, 0.0, 0.02, 0.1, 0.06, 0.02, 0.0, 0.04, 0.06, 0.08, 0.02, 0.0, 0.0, 0.0, 0.04, 0.16]","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)","(1, 1, 0, 1, 0)","(0, 1, 1, 1, 0)"
"[(2, 1, 3, 4, 0), (1, 2, 0, 4, 3), (1, 4, 2, 0, 3), (1, 3, 4, 2, 0), (2, 1, 3, 4, 0), (2, 1, 3, 4, 0), (1, 4, 0, 2, 3), (2, 1, 3, 4, 0), (1, 4, 3, 2, 0), (2, 4, 1, 0, 3)]","(0, 1, 1, 1, 0)",0,"[0, 0, 1, 4, 1, 10, 0, 5, 10, 9, 9, 5, 0, 8, 6, 6, 0, 2, 0, 5, 9, 1, 4, 5, 0]","[0.0, 0.0, 0.01, 0.04, 0.01, 0.1, 0.0, 0.05, 0.1, 0.09, 0.09, 0.05, 0.0, 0.08, 0.06, 0.06, 0.0, 0.02, 0.0, 0.05, 0.09, 0.01, 0.04, 0.05, 0.0]","[0, 1, 4, 1, 10, 5, 10, 9, 9, 5, 8, 6, 6, 0, 2, 5, 9, 1, 4, 5]","[0.0, 0.01, 0.04, 0.01, 0.1, 0.05, 0.1, 0.09, 0.09, 0.05, 0.08, 0.06, 0.06, 0.0, 0.02, 0.05, 0.09, 0.01, 0.04, 0.05]","[0.      0.02041 0.08163 0.02041 0.10204 0.20408 0.18367 0.16327 0.12245
 0.10204]","[0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 2, 2, 6, 5, 4, 1, 0, 0, 5, 1, 1, 3, 0, 0, 1, 5, 0, 4, 0, 4, 1, 5, 0]","[0.0, 0.0, 0.04, 0.04, 0.12, 0.1, 0.08, 0.02, 0.0, 0.0, 0.1, 0.02, 0.02, 0.06, 0.0, 0.0, 0.02, 0.1, 0.0, 0.08, 0.0, 0.08, 0.02, 0.1, 0.0]","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)"
"[(3, 2, 0, 4, 1), (1, 4, 0, 2, 3), (1, 2, 4, 3, 0), (1, 0, 4, 2, 3), (4, 2, 0, 1, 3), (4, 2, 1, 3, 0), (4, 2, 3, 0, 1), (1, 4, 0, 2, 3), (4, 0, 1, 3, 2), (2, 3, 0, 4, 1)]","(0, 1, 1, 0, 1)",0,"[0, 5, 4, 5, 3, 5, 0, 5, 7, 4, 6, 5, 0, 8, 3, 5, 3, 2, 0, 2, 7, 6, 7, 8, 0]","[0.0, 0.05, 0.04, 0.05, 0.03, 0.05, 0.0, 0.05, 0.07, 0.04, 0.06, 0.05, 0.0, 0.08, 0.03, 0.05, 0.03, 0.02, 0.0, 0.02, 0.07, 0.06, 0.07, 0.08, 0.0]","[5, 4, 5, 3, 5, 5, 7, 4, 6, 5, 8, 3, 5, 3, 2, 2, 7, 6, 7, 8]","[0.05, 0.04, 0.05, 0.03, 0.05, 0.05, 0.07, 0.04, 0.06, 0.05, 0.08, 0.03, 0.05, 0.03, 0.02, 0.02, 0.07, 0.06, 0.07, 0.08]","[0.1087  0.08696 0.1087  0.06522 0.1087  0.15217 0.08696 0.17391 0.06522
 0.04348]","[0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 1, 0, 0]","[0, 2, 5, 1, 2, 4, 0, 2, 1, 3, 1, 5, 0, 3, 1, 1, 1, 1, 3, 4, 4, 2, 2, 2, 0]","[0.0, 0.04, 0.1, 0.02, 0.04, 0.08, 0.0, 0.04, 0.02, 0.06, 0.02, 0.1, 0.0, 0.06, 0.02, 0.02, 0.02, 0.02, 0.06, 0.08, 0.08, 0.04, 0.04, 0.04, 0.0]","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 1, 0, 1)"
"[(3, 2, 0, 1, 4), (1, 2, 3, 4, 0), (2, 3, 0, 4, 1), (2, 3, 1, 4, 0), (3, 2, 1, 4, 0), (2, 3, 1, 0, 4), (1, 3, 2, 4, 0), (2, 3, 1, 0, 4), (3, 2, 1, 0, 4), (2, 3, 1, 4, 0)]","(0, 1, 1, 1, 0)",0,"[0, 2, 0, 0, 5, 8, 0, 2, 2, 9, 10, 8, 0, 6, 10, 10, 8, 4, 0, 10, 5, 1, 0, 0, 0]","[0.0, 0.02, 0.0, 0.0, 0.05, 0.08, 0.0, 0.02, 0.02, 0.09, 0.1, 0.08, 0.0, 0.06, 0.1, 0.1, 0.08, 0.04, 0.0, 0.1, 0.05, 0.01, 0.0, 0.0, 0.0]","[2, 0, 0, 5, 8, 2, 2, 9, 10, 8, 6, 10, 10, 8, 4, 10, 5, 1, 0, 0]","[0.02, 0.0, 0.0, 0.05, 0.08, 0.02, 0.02, 0.09, 0.1, 0.08, 0.06, 0.1, 0.1, 0.08, 0.04, 0.1, 0.05, 0.01, 0.0, 0.0]","[0.04348 0.      0.      0.1087  0.04348 0.04348 0.19565 0.13043 0.21739
 0.21739]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 0, 2, 3, 5, 2, 0, 6, 1, 1, 5, 4, 1, 0, 0, 3, 6, 1, 0, 0, 0, 0, 0, 6, 4]","[0.0, 0.0, 0.04, 0.06, 0.1, 0.04, 0.0, 0.12, 0.02, 0.02, 0.1, 0.08, 0.02, 0.0, 0.0, 0.06, 0.12, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12, 0.08]","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 1, 0)","(1, 1, 1, 0, 0)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)"
"[(0, 2, 3, 4, 1), (3, 2, 1, 4, 0), (3, 1, 2, 4, 0), (2, 0, 3, 4, 1), (1, 3, 0, 4, 2), (2, 1, 4, 3, 0), (4, 0, 3, 2, 1), (4, 2, 1, 3, 0), (0, 4, 2, 3, 1), (4, 0, 2, 3, 1)]","(1, 0, 1, 0, 1)",0,"[0, 5, 5, 5, 4, 5, 0, 2, 3, 4, 5, 8, 0, 6, 5, 5, 7, 4, 0, 5, 6, 6, 5, 5, 0]","[0.0, 0.05, 0.05, 0.05, 0.04, 0.05, 0.0, 0.02, 0.03, 0.04, 0.05, 0.08, 0.0, 0.06, 0.05, 0.05, 0.07, 0.04, 0.0, 0.05, 0.06, 0.06, 0.05, 0.05, 0.0]","[5, 5, 5, 4, 5, 2, 3, 4, 5, 8, 6, 5, 5, 7, 4, 5, 6, 6, 5, 5]","[0.05, 0.05, 0.05, 0.04, 0.05, 0.02, 0.03, 0.04, 0.05, 0.08, 0.06, 0.05, 0.05, 0.07, 0.04, 0.05, 0.06, 0.06, 0.05, 0.05]","[0.11364 0.11364 0.11364 0.09091 0.04545 0.06818 0.09091 0.13636 0.11364
 0.11364]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]","[2, 3, 1, 0, 4, 1, 2, 2, 0, 5, 2, 3, 3, 1, 1, 2, 1, 3, 4, 0, 3, 1, 1, 5, 0]","[0.04, 0.06, 0.02, 0.0, 0.08, 0.02, 0.04, 0.04, 0.0, 0.1, 0.04, 0.06, 0.06, 0.02, 0.02, 0.04, 0.02, 0.06, 0.08, 0.0, 0.06, 0.02, 0.02, 0.1, 0.0]","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(1, 0, 0, 1, 1)","(1, 0, 1, 1, 0)","(1, 0, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 0, 1, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)"
"[(1, 3, 2, 0, 4), (4, 3, 2, 1, 0), (1, 2, 3, 4, 0), (1, 4, 3, 2, 0), (1, 2, 4, 0, 3), (1, 3, 2, 4, 0), (1, 4, 0, 2, 3), (1, 3, 4, 2, 0), (1, 2, 3, 0, 4), (2, 1, 4, 0, 3)]","(0, 1, 1, 0, 1)",0,"[0, 0, 1, 3, 2, 10, 0, 8, 9, 9, 9, 2, 0, 5, 6, 7, 1, 5, 0, 5, 8, 1, 4, 5, 0]","[0.0, 0.0, 0.01, 0.03, 0.02, 0.1, 0.0, 0.08, 0.09, 0.09, 0.09, 0.02, 0.0, 0.05, 0.06, 0.07, 0.01, 0.05, 0.0, 0.05, 0.08, 0.01, 0.04, 0.05, 0.0]","[0, 1, 3, 2, 10, 8, 9, 9, 9, 2, 5, 6, 7, 1, 5, 5, 8, 1, 4, 5]","[0.0, 0.01, 0.03, 0.02, 0.1, 0.08, 0.09, 0.09, 0.09, 0.02, 0.05, 0.06, 0.07, 0.01, 0.05, 0.05, 0.08, 0.01, 0.04, 0.05]","[0.      0.02083 0.0625  0.04167 0.16667 0.1875  0.1875  0.10417 0.125
 0.10417]","[0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 0, 1, 1, 1, 0, 1, 0]","[0, 0, 1, 4, 5, 8, 1, 0, 1, 0, 1, 3, 3, 3, 0, 0, 4, 3, 0, 3, 1, 2, 3, 2, 2]","[0.0, 0.0, 0.02, 0.08, 0.1, 0.16, 0.02, 0.0, 0.02, 0.0, 0.02, 0.06, 0.06, 0.06, 0.0, 0.0, 0.08, 0.06, 0.0, 0.06, 0.02, 0.04, 0.06, 0.04, 0.04]","(0, 1, 1, 1, 0)","(0, 1, 1, 0, 1)","(0, 1, 1, 0, 1)","(0, 1, 1, 1, 0)","(0, 1, 1, 1, 0)","(0, 0, 1, 1, 1)","(0, 1, 0, 1, 1)","(1, 1, 1, 0, 0)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(0, 1, 0, 1, 1)"
"[(0, 1, 4, 3, 2), (1, 2, 3, 0, 4), (4, 0, 1, 2, 3), (1, 0, 4, 3, 2), (0, 4, 2, 1, 3), (2, 3, 4, 1, 0), (1, 2, 3, 4, 0), (4, 0, 3, 1, 2), (4, 0, 2, 1, 3), (4, 1, 0, 3, 2)]","(1, 1, 0, 0, 1)",0,"[0, 5, 7, 7, 4, 5, 0, 7, 8, 4, 3, 3, 0, 6, 3, 3, 2, 4, 0, 3, 6, 6, 7, 7, 0]","[0.0, 0.05, 0.07, 0.07, 0.04, 0.05, 0.0, 0.07, 0.08, 0.04, 0.03, 0.03, 0.0, 0.06, 0.03, 0.03, 0.02, 0.04, 0.0, 0.03, 0.06, 0.06, 0.07, 0.07, 0.0]","[5, 7, 7, 4, 5, 7, 8, 4, 3, 3, 6, 3, 3, 2, 4, 3, 6, 6, 7, 7]","[0.05, 0.07, 0.07, 0.04, 0.05, 0.07, 0.08, 0.04, 0.03, 0.03, 0.06, 0.03, 0.03, 0.02, 0.04, 0.03, 0.06, 0.06, 0.07, 0.07]","[0.09259 0.12963 0.12963 0.07407 0.12963 0.14815 0.07407 0.11111 0.05556
 0.05556]","[0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0]","[0, 1, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]","[0, 1, 1, 0, 1, 1, 0, 1, 0, 0]","[2, 4, 1, 1, 2, 3, 2, 1, 4, 0, 1, 2, 2, 1, 4, 0, 1, 3, 3, 3, 4, 1, 3, 1, 1]","[0.04, 0.08, 0.02, 0.02, 0.04, 0.06, 0.04, 0.02, 0.08, 0.0, 0.02, 0.04, 0.04, 0.02, 0.08, 0.0, 0.02, 0.06, 0.06, 0.06, 0.08, 0.02, 0.06, 0.02, 0.02]","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(0, 1, 1, 0, 1)","(1, 1, 0, 0, 1)","(0, 0, 1, 1, 1)","(1, 0, 1, 0, 1)","(0, 0, 1, 1, 1)"
"[(2, 3, 4, 1, 0), (0, 3, 2, 4, 1), (1, 3, 4, 0, 2), (4, 0, 3, 2, 1), (3, 1, 0, 4, 2), (1, 2, 3, 0, 4), (3, 1, 0, 2, 4), (0, 2, 3, 1, 4), (3, 1, 0, 4, 2), (3, 0, 4, 1, 2)]","(1, 1, 0, 1, 0)",0,"[0, 4, 8, 3, 7, 6, 0, 6, 2, 6, 2, 4, 0, 3, 5, 7, 8, 7, 0, 9, 3, 4, 5, 1, 0]","[0.0, 0.04, 0.08, 0.03, 0.07, 0.06, 0.0, 0.06, 0.02, 0.06, 0.02, 0.04, 0.0, 0.03, 0.05, 0.07, 0.08, 0.07, 0.0, 0.09, 0.03, 0.04, 0.05, 0.01, 0.0]","[4, 8, 3, 7, 6, 6, 2, 6, 2, 4, 3, 5, 7, 8, 7, 9, 3, 4, 5, 1]","[0.04, 0.08, 0.03, 0.07, 0.06, 0.06, 0.02, 0.06, 0.02, 0.04, 0.03, 0.05, 0.07, 0.08, 0.07, 0.09, 0.03, 0.04, 0.05, 0.01]","[0.07547 0.15094 0.0566  0.13208 0.11321 0.03774 0.11321 0.0566  0.09434
 0.16981]","[0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0]","[0, 1, 0, 1, 1, 0, 1, 0, 0, 1]","[2, 2, 3, 2, 1, 2, 3, 0, 3, 2, 1, 2, 1, 2, 4, 4, 3, 3, 0, 0, 1, 0, 3, 3, 3]","[0.04, 0.04, 0.06, 0.04, 0.02, 0.04, 0.06, 0.0, 0.06, 0.04, 0.02, 0.04, 0.02, 0.04, 0.08, 0.08, 0.06, 0.06, 0.0, 0.0, 0.02, 0.0, 0.06, 0.06, 0.06]","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)","(1, 1, 0, 1, 0)","(0, 0, 1, 1, 1)"
